estacion,fecha,obs_temp,n_horas_validas
Belisario,2007-01-11,15.5413636363636,22
Belisario,2007-01-12,16.6025,24
Belisario,2007-01-13,16.5720833333333,24
Belisario,2007-01-14,16.3970833333333,24
Belisario,2007-01-15,16.7991666666667,24
Belisario,2007-01-16,16.4916666666667,24
Belisario,2007-01-17,15.2754166666667,24
Belisario,2007-01-18,15.1866666666667,24
Belisario,2007-01-19,14.3175,24
Belisario,2007-01-20,15.3595833333333,24
Belisario,2007-01-21,15.0595833333333,24
Belisario,2007-01-22,14.3366666666667,24
Belisario,2007-01-23,15.9166666666667,24
Belisario,2007-01-24,14.0675,24
Belisario,2007-01-25,13.10375,24
Belisario,2007-01-26,12.7741666666667,24
Belisario,2007-01-27,15.485,24
Belisario,2007-01-28,14.6983333333333,24
Belisario,2007-01-29,15.7183333333333,24
Belisario,2007-01-30,15.3304166666667,24
Belisario,2007-01-31,14.675,24
Belisario,2007-02-01,15.4991666666667,24
Belisario,2007-02-02,15.405,24
Belisario,2007-02-03,15.3841666666667,24
Belisario,2007-02-04,15.0791666666667,24
Belisario,2007-02-05,15.0225,24
Belisario,2007-02-06,14.815652173913,23
Belisario,2007-02-07,15.0275,24
Belisario,2007-02-08,14.3958333333333,24
Belisario,2007-02-09,14.43875,24
Belisario,2007-02-10,14.6354166666667,24
Belisario,2007-02-11,15.02125,24
Belisario,2007-02-12,15.7591666666667,24
Belisario,2007-02-13,14.1258333333333,24
Belisario,2007-02-14,14.6416666666667,24
Belisario,2007-02-15,12.91375,24
Belisario,2007-02-16,10.5358333333333,24
Belisario,2007-02-17,12.0558333333333,24
Belisario,2007-02-18,13.1383333333333,24
Belisario,2007-02-19,13.46875,24
Belisario,2007-02-20,10.6070833333333,24
Belisario,2007-02-21,13.33875,24
Belisario,2007-02-22,13.7791666666667,24
Belisario,2007-02-23,15.0570833333333,24
Belisario,2007-02-24,15.9829166666667,24
Belisario,2007-02-25,15.5720833333333,24
Belisario,2007-02-26,15.8316666666667,24
Belisario,2007-02-27,15.9454166666667,24
Belisario,2007-02-28,15.3541666666667,24
Belisario,2007-03-01,16.10625,24
Belisario,2007-03-02,16.1625,24
