estacion,fecha,obs_temp,n_horas_validas,era5_temp,merra2_temp
Carapungo,2013-09-21,16.0995833333333,24,16.09254666666669,18.48634875000003
Carapungo,2013-09-22,16.4991666666667,24,16.170571666666692,18.618979333333353
Carapungo,2013-09-23,16.7283333333333,24,16.53842791666669,18.520308416666683
Carapungo,2013-09-24,16.7470833333333,24,16.57925000000002,18.569874000000024
Carapungo,2013-09-25,15.455,24,16.262609166666692,18.243278833333353
Carapungo,2013-09-26,14.9516666666667,24,14.70936791666668,18.715514000000017
Carapungo,2013-09-27,15.0175,24,15.121394583333355,18.03481558333336
Carapungo,2013-09-28,14.7325,24,14.849463750000028,17.745710041666694
Carapungo,2013-09-29,14.2275,24,14.15563791666669,17.256650625000027
Carapungo,2013-09-30,13.2483333333333,24,14.27857333333336,16.86346716666669
Carapungo,2013-10-01,14.85875,24,14.59477666666669,17.699732708333354
Carapungo,2013-10-02,15.42,24,14.999002500000024,18.08630908333335
Carapungo,2013-10-03,14.05875,24,14.62064625000002,17.72442650000002
Carapungo,2013-10-04,14.4591666666667,24,15.07080833333336,17.85977325000002
Carapungo,2013-10-05,15.5991666666667,24,15.699932500000024,18.120303000000025
Carapungo,2013-10-06,14.6725,24,15.37268541666669,18.268360333333355
Carapungo,2013-10-07,15.0091666666667,24,14.55716916666669,18.731057708333356
Carapungo,2013-10-08,15.4375,24,15.337165416666693,18.500388125000025
Carapungo,2013-10-09,14.8883333333333,24,14.93302958333335,17.758990125000025
Carapungo,2013-10-10,13.8633333333333,24,14.04930041666669,17.416960708333356
Carapungo,2013-10-11,14.8958333333333,24,14.391997083333358,17.86540254166669
Carapungo,2013-10-12,13.8529166666667,24,14.13713875000002,17.625896791666687
Carapungo,2013-10-13,13.7766666666667,24,14.089717916666686,17.10497954166669
Carapungo,2013-10-14,12.7908695652174,23,13.922002083333355,16.50207933333336
Carapungo,2013-10-15,13.6433333333333,24,13.662658333333356,17.60015254166669
Carapungo,2013-10-16,12.6341666666667,24,13.991497083333355,17.03941120833336
Carapungo,2013-10-17,13.62625,24,15.060134583333358,17.31371204166669
Carapungo,2013-10-18,13.85875,24,13.97949416666669,17.432901000000022
Carapungo,2013-10-19,14.9175,24,14.87984166666669,17.74142229166669
Carapungo,2013-10-20,14.7429166666667,24,14.64540500000002,17.58954137500002
Carapungo,2013-10-21,13.9008333333333,24,13.81456541666669,17.054792000000017
Carapungo,2013-10-22,13.5983333333333,24,13.991973750000026,16.925679791666685
Carapungo,2013-10-23,14.3904166666667,24,14.874566250000024,17.691214625000022
Carapungo,2013-10-24,15.2120833333333,24,15.541240000000023,18.095048583333355
Carapungo,2013-10-25,14.8458333333333,24,14.95303833333336,18.081525416666683
Carapungo,2013-10-26,14.71875,24,14.574910000000024,17.802410375000022
Carapungo,2013-10-27,14.2241666666667,24,13.736134583333351,17.60468062500002
Carapungo,2013-10-28,15.3408333333333,24,14.563197500000024,17.770316083333356
Carapungo,2013-10-29,14.6270833333333,24,14.395025833333357,17.65156820833336
Carapungo,2013-10-30,13.9270833333333,24,14.223419583333351,17.316898541666696
Carapungo,2013-10-31,13.5425,24,13.765515833333351,17.104566250000023
Carapungo,2013-11-01,13.3216666666667,24,12.57437958333336,16.997471208333355
Carapungo,2013-11-02,12.9120833333333,24,12.957704583333358,16.715453000000025
Carapungo,2013-11-03,13.8875,24,13.58223250000002,16.815577458333358
Carapungo,2013-11-04,14.0483333333333,24,14.41443500000002,17.009515416666694
Carapungo,2013-11-05,14.315,24,14.63341083333336,17.10682312500002
Carapungo,2013-11-06,14.8,24,14.557340000000028,16.92318625000002
Carapungo,2013-11-07,14.2329166666667,24,13.88992291666669,16.54417441666669
Carapungo,2013-11-08,13.9975,24,13.965205416666686,16.648137625000018
Carapungo,2013-11-09,14.09375,24,14.49753250000002,16.886121458333353
Carapungo,2013-11-10,14.96125,24,14.889885000000024,17.441815916666688
Carapungo,2013-11-11,15.34875,24,15.569565833333357,17.801702041666694
Carapungo,2013-11-12,14.9108333333333,24,15.09667750000002,18.043716625000023
Carapungo,2013-11-13,14.9225,24,15.21859750000002,17.732668833333367
Carapungo,2013-11-14,14.805,24,14.861853333333356,17.56030312500002
Carapungo,2013-11-15,15.2575,24,14.865287500000024,17.56500016666669
Carapungo,2013-11-16,15.4833333333333,24,14.757043333333357,17.56077733333336
Carapungo,2013-11-17,15.1075,24,14.992101250000024,17.670170041666687
Carapungo,2013-11-18,14.3008333333333,24,14.22390625000002,17.36031870833336
Carapungo,2013-11-19,13.87125,24,14.44612000000002,17.38783929166669
Carapungo,2013-11-20,13.9945833333333,24,13.643668333333354,16.65034270833336
Carapungo,2013-11-21,14.2091304347826,23,14.139291666666692,17.096540083333363
Carapungo,2013-11-22,14.0225,24,14.21436708333336,16.976827250000017
Carapungo,2013-11-23,14.3804166666667,24,14.527429583333358,16.826578916666687
Carapungo,2013-11-24,13.4379166666667,24,13.60191416666669,16.73409804166669
Carapungo,2013-11-25,13.7325,24,13.430403333333356,16.79382991666669
Carapungo,2013-11-26,14.25375,24,13.819912916666686,16.96379754166669
Carapungo,2013-11-27,14.2225,24,14.176728333333356,16.963227875000026
Carapungo,2013-11-28,14.9279166666667,24,14.129935416666688,16.745580250000028
Carapungo,2013-11-29,13.95,24,14.209049583333352,17.241774458333357
Carapungo,2013-11-30,14.66,24,13.773969166666689,16.82762812500003
Carapungo,2013-12-01,14.3633333333333,24,14.330025416666686,17.05984645833335
Carapungo,2013-12-02,14.1520833333333,24,14.313939583333358,16.795228666666688
Carapungo,2013-12-03,14.5366666666667,24,14.053194166666694,16.93233891666669
Carapungo,2013-12-04,15.2933333333333,24,15.170907500000022,16.74807770833336
Carapungo,2013-12-05,14.2441666666667,24,15.022292500000022,17.12234016666669
Carapungo,2013-12-06,14.8,24,14.424246666666692,17.170153541666693
Carapungo,2013-12-07,14.0625,24,13.882426666666689,16.226463583333356
Carapungo,2013-12-08,13.1479166666667,24,13.863051666666683,16.609948750000026
Carapungo,2013-12-09,12.87375,24,13.45585791666669,16.328064250000022
Carapungo,2013-12-10,14.765,24,14.685900833333363,17.363755791666687
Carapungo,2013-12-11,14.7979166666667,24,15.329170833333364,17.488079375000016
Carapungo,2013-12-12,15.8204166666667,24,14.954817916666682,17.271121041666685
Carapungo,2013-12-13,14.8045833333333,24,14.915560416666686,17.65042908333335
Carapungo,2013-12-14,14.8629166666667,24,14.642547500000022,17.75390150000002
Carapungo,2013-12-15,15.1858333333333,24,15.028409166666693,17.815841958333355
Carapungo,2013-12-16,14.9661904761905,21,15.020005000000015,17.224547375000018
Carapungo,2013-12-17,13.6720833333333,24,14.437192916666689,16.59378712500002
Carapungo,2013-12-18,13.83,24,14.464133750000023,16.88227241666669
Carapungo,2013-12-19,14.1058333333333,24,14.57819916666669,17.147031458333352
Carapungo,2013-12-20,14.6983333333333,24,14.546491250000022,17.273999708333353
Carapungo,2013-12-21,15.12125,24,15.249316666666688,17.299628291666693
Carapungo,2013-12-22,15.205,24,14.897180833333357,17.27553712500002
Carapungo,2013-12-23,14.7358333333333,24,14.78703166666669,17.440080250000026
Carapungo,2013-12-24,13.9722727272727,22,14.396215833333356,16.96095175000002
Carapungo,2013-12-25,14.3354166666667,24,14.290089166666688,16.922563250000028
Carapungo,2013-12-26,14.9495833333333,24,14.439180416666686,16.979819208333353
Carapungo,2013-12-27,15.5825,24,15.611415833333352,18.443873250000024
Carapungo,2013-12-28,16.8654166666667,24,16.668900000000022,18.851363208333357
Carapungo,2013-12-29,15.4216666666667,24,16.02906833333336,18.308641000000023
Carapungo,2013-12-30,15.3525,24,15.249513750000023,17.378682708333354
Carapungo,2013-12-31,15.2620833333333,24,14.58001375000002,17.730786958333358
Carapungo,2014-01-01,14.7208333333333,24,14.655024583333356,17.793969750000024
Carapungo,2014-01-02,14.6116666666667,24,14.72835333333336,17.524776750000022
Carapungo,2014-01-03,15.0416666666667,24,14.820353333333353,17.609277333333356
Carapungo,2014-01-04,15.3470833333333,24,15.906869166666691,18.00980541666669
Carapungo,2014-01-05,14.6933333333333,24,15.221127083333355,17.778274916666685
Carapungo,2014-01-06,13.71375,24,14.632441666666688,16.78660850000002
Carapungo,2014-01-07,12.4129166666667,24,13.888482083333358,16.514583875000024
Carapungo,2014-01-08,13.0491666666667,24,13.991275416666689,16.341919208333362
Carapungo,2014-01-09,13.7608333333333,24,14.493974166666684,16.92610062500002
Carapungo,2014-01-10,13.5245833333333,24,14.313664166666696,16.966061041666688
Carapungo,2014-01-11,14.1229166666667,24,14.521286666666697,17.09365104166669
Carapungo,2014-01-12,15.0329166666667,24,15.05272958333336,17.32253679166669
Carapungo,2014-01-13,14.883333333333301,24,14.905108750000013,17.925107666666687
Carapungo,2014-01-14,14.5433333333333,24,15.316677916666691,17.584430958333353
Carapungo,2014-01-15,15.3508333333333,24,15.109974166666689,17.84076337500002
Carapungo,2014-01-16,15.3908333333333,24,15.49766416666669,17.51911445833336
Carapungo,2014-01-17,15.8329166666667,24,15.354749166666686,17.44088387500002
Carapungo,2014-01-18,14.42,24,15.10723208333336,17.279258875000025
Carapungo,2014-01-19,14.3458333333333,24,15.03620083333336,17.37591312500002
Carapungo,2014-01-20,15.0870833333333,24,14.937133750000022,17.364080083333352
Carapungo,2014-01-21,15.6533333333333,24,14.644724166666684,17.84569312500002
Carapungo,2014-01-22,15.0645833333333,24,14.917196250000025,17.16149279166669
Carapungo,2014-01-23,15.8425,24,14.960150833333357,17.416338833333356
Carapungo,2014-01-24,15.34375,24,14.670717083333358,16.88327812500002
Carapungo,2014-01-25,14.5216666666667,24,14.461190000000022,16.294451666666692
Carapungo,2014-01-26,14.227083333333301,24,13.860980416666685,16.35348166666669
Carapungo,2014-01-27,15.1408333333333,24,15.050808750000025,16.939557708333357
Carapungo,2014-01-28,15.3279166666667,24,15.474653333333356,17.35807191666669
Carapungo,2014-01-29,14.2495833333333,24,15.057431250000022,16.87090083333336
Carapungo,2014-01-30,14.5320833333333,24,14.510046250000022,16.086085208333362
Carapungo,2014-01-31,14.8491666666667,24,14.53534041666669,17.284340166666695
Carapungo,2014-02-01,14.9429166666667,24,15.224638333333354,17.609783458333357
Carapungo,2014-02-02,15.03625,24,14.577580416666684,16.678132625000025
Carapungo,2014-02-03,14.9129166666667,24,14.65252750000002,16.394690416666688
Carapungo,2014-02-04,14.1579166666667,24,14.588101250000022,16.70742829166669
Carapungo,2014-02-05,13.3533333333333,24,13.74086125000002,15.934524750000021
Carapungo,2014-02-06,14.5478260869565,23,14.316584166666694,17.25545025000002
Carapungo,2014-02-07,15.18625,24,14.80254791666669,17.068010000000022
Carapungo,2014-02-08,14.8545833333333,24,14.832662916666688,17.105853083333354
Carapungo,2014-02-09,15.3166666666667,24,14.48661750000002,16.641386958333353
Carapungo,2014-02-10,14.5908333333333,24,14.578539166666696,17.740842375000025
Carapungo,2014-02-11,14.6341666666667,24,14.817972500000026,17.255966541666684
Carapungo,2014-02-12,15.3116666666667,24,15.193215416666687,17.705979958333355
Carapungo,2014-02-13,14.7916666666667,24,14.295260416666684,16.772686375000024
Carapungo,2014-02-14,14.96125,24,15.01628625000002,17.86681775000002
Carapungo,2014-02-15,15.3191666666667,24,14.379590416666693,17.94660220833335
Carapungo,2014-02-16,15.3775,24,15.282195833333352,17.004748333333357
Carapungo,2014-02-17,15.4241666666667,24,14.634729166666686,16.60123604166669
Carapungo,2014-02-18,15.1675,24,14.61344083333336,17.004024750000024
Carapungo,2014-02-19,15.1990909090909,22,15.078130833333349,16.939696250000022
Carapungo,2014-02-20,14.9366666666667,24,14.914854583333357,16.843263250000025
Carapungo,2014-02-21,14.0058333333333,24,14.210794166666687,16.640452375000017
Carapungo,2014-02-22,14.87625,24,14.96968833333335,17.263964708333354
